run_id,step_id,workflow,tenant,sla_ms,critical_path_ms,attempts,latency_ms,queue_wait_ms,step_attempts,parallel_tasks_count
dd057712-e50f-4e03-ab66-8eb4a62be853,6cb0cf03-ef2c-4288-aa3c-a392929e2c73,personalization,trend_hub,38755,38755,2,6626,4423,2,2
e9119a85-0344-4b42-8909-ccafc1cb080a,dc3455cc-8fe7-4cde-9500-41ca62b9a685,sustainability,trend_hub,45390,11179,4,8739,1466,1,3
4abd7b1c-85dd-4d28-a960-7ba5c14e1da9,90c6b816-aa54-4249-a051-e1be9cc775bd,sales,trend_hub,28711,28711,4,7003,3957,2,2
f3107c5b-a678-4cad-ab1d-f57372e5b75e,b2bdef79-0c04-460c-88fa-49e9017258e9,sustainability,trend_hub,31122,19843,3,3890,1966,2,4
a4aeb4ce-f857-4bfa-985c-fde43ce275cc,7ffa9675-5874-4cfa-b1cc-6d20cb3e3ab4,sustainability,lux_design,14160,14160,2,7239,375,1,2
c5fc285d-aa13-4a9d-81f6-742d64eeb241,a6a1e971-5f6f-4e66-8026-f3dcace44098,production,lux_design,32213,32213,1,9026,262,2,4
2cedcab4-f252-4084-b9ff-d40ab2ed1aee,dabe2d19-1fab-4058-8044-62f7261bdd2c,sales,global_style,55252,47898,3,4306,4362,1,1
52b720ee-4c2a-4788-a54b-74e67805c0fb,8fdfce91-4f06-4f19-912e-d791a182221b,sales,acme_fashion,44420,44420,3,1897,3388,2,2
c5b92335-3fa3-4e2a-9ad3-e76ce1c52442,3a9fafa8-726d-4c50-8b99-41016171f484,sales,trend_hub,12421,12421,1,1670,3395,1,1
12311050-5ed2-454a-96a0-686df90f99ee,ff4db801-6c8e-44a2-b24f-e2d8c1eb9564,sustainability,global_style,26400,13449,3,8291,1944,3,1
97a00d97-cb45-4e8f-b300-daedda964553,70970f22-4a24-491a-90e7-1410b9484e63,personalization,acme_fashion,38537,38537,4,2505,1893,2,0
f4edc353-4a9d-4944-bc30-a86d5deee8a3,ebc856b3-0df0-45c7-84f5-b2e511aa930e,sales,eco_thread,22727,22727,4,7460,3634,1,1
8c0b1907-ff72-46c8-9950-ea4d1293635b,777bd51c-6979-47b7-b052-b2ea97f73f17,sustainability,lux_design,51882,10418,2,6167,1652,2,1
2b288797-9f3c-4ce5-a786-9281c327f60a,f36ebb39-51dd-40de-b9b2-ad79f823be0e,production,acme_fashion,9358,9358,2,6255,4141,2,2
c924b2d0-349b-4c1f-8979-7bb39acdfe89,fa49daf9-9f1c-4cb8-932f-fbca8266aa30,personalization,eco_thread,33482,5454,1,1249,3892,2,2
16b63006-2578-49cb-8e22-1cdefbecbb17,0afcb279-8de2-43e4-95f3-1559f9ed19e7,production,acme_fashion,37117,20761,2,7457,599,1,3
57fd74dc-cdcd-447a-9686-f6c53f0443a5,f63b0f86-39bc-43c7-8479-645bb976fc88,personalization,lux_design,28164,18223,4,2892,4815,3,0
0e7d97c6-2f54-40c1-8815-3fcaeb649546,4baeb8a9-caf3-4aa9-9a29-318db3a04595,sustainability,lux_design,36910,9701,1,4439,1912,3,1
fc8f96fa-cddf-4e7f-aab7-ecca6cee77d5,87e082b9-1fa1-4bf1-8109-a236436d8221,design,global_style,37496,5597,1,3854,1292,3,0
01229a8b-d801-4df3-ae08-053df410e5ea,e62d0c95-7b4e-4963-a2c0-a266df317469,personalization,trend_hub,49311,3141,2,4792,600,1,4
1ca8d7af-8442-4447-a73f-995d3bf8b455,70d328d6-4c8f-442d-80ab-c6bd83487f32,production,acme_fashion,34371,5659,4,6330,380,3,1
64ea419f-d07d-4735-aabc-e3c89892f572,51b30909-7340-49bf-b854-1bc3b6d201eb,sustainability,acme_fashion,56501,23980,1,8871,4213,1,0
46d00232-f651-47b0-93b0-1a8499e739f3,7989c1e6-47b9-48f7-a491-3ec7470dee14,personalization,eco_thread,43467,12031,4,9235,3637,2,3
88fae967-6f55-4a61-8e6b-9443517b75cf,727f908c-3994-4cec-8b38-638be7d963e6,design,lux_design,22625,18037,4,4612,2163,2,3
998c6ffc-c145-43ab-bf14-89347e7aec71,f3865aac-fee3-4c52-b1db-65ffbccde12f,design,acme_fashion,38893,38893,4,3618,4355,3,1
27df86bf-abf1-425d-a60f-799f49b0c32e,c0fe4c3d-9410-4aba-b421-35004d3d1fa4,sales,lux_design,15793,15793,2,5678,1098,1,4
557ad0b6-5cf7-4946-bc15-3893450384ea,df72c371-ed38-47f8-b7d7-6c0d0fd0c4ea,sales,acme_fashion,36007,9142,3,4163,365,2,3
0820e4f6-428b-4d3c-a66e-ad98574bea5b,b83ada1a-e0a6-4dfd-8f2b-d22329937d76,production,global_style,30766,15109,3,3942,2570,1,3
